case_uid,Case_ID,row_id,group,latency_low,latency_medium,latency_high
c4535d21395565cd82f36b558604a4855910fae2cf49b71dfe6ced994b07b813,c4535d21395565cd82f36b558604a4855910fae2cf49b71dfe6ced994b07b813,22,RA 29,5596.6,59511.5,53466.4
86762b6d1c226bf097b7c1553413aa8ada35bacdcda5fee168e6ba2fe64926bd,86762b6d1c226bf097b7c1553413aa8ada35bacdcda5fee168e6ba2fe64926bd,28,RA 34,12620.0,21678.1,52867.9
7609fbaee06b1f0e13544f770657ae3590b51fcf7636b6bbc5d447e0744b2a38,7609fbaee06b1f0e13544f770657ae3590b51fcf7636b6bbc5d447e0744b2a38,29,RA 35,22971.5,59046.3,81725.7
9a6ff8d3960df0f0dcf33b81ad96881f4ea256ab5ae5b25b488577e582a40161,9a6ff8d3960df0f0dcf33b81ad96881f4ea256ab5ae5b25b488577e582a40161,31,RA 37,15009.8,19687.3,41681.5
22144a38d0f771131872f2c55dcc5624c2bd70d65ba737c1322322f29b29a244,22144a38d0f771131872f2c55dcc5624c2bd70d65ba737c1322322f29b29a244,32,RA 38,5126.0,19922.6,35851.8
8b95734fd1f11fa97ace3feb5482be0a7e27d4daf70984727d7a83a4cb7c8523,8b95734fd1f11fa97ace3feb5482be0a7e27d4daf70984727d7a83a4cb7c8523,33,RA 39,12727.0,31551.9,79572.2
7bd310955f8c798108e80433c7bbe482ea73874f3742c3f072729d39b20dccd5,7bd310955f8c798108e80433c7bbe482ea73874f3742c3f072729d39b20dccd5,36,RA 41,5650.3,44666.1,56215.5
8acd2c5d14fe8b6d87f93d6f4ab6c591f6a8b90c07babf90151cae8bede5ddb7,8acd2c5d14fe8b6d87f93d6f4ab6c591f6a8b90c07babf90151cae8bede5ddb7,40,RA 45,14958.5,47195.5,134784.7
f5027ff2121616311b2a4433a23d8f5751bee2f0ff0a258537ccecd92b43dcd4,f5027ff2121616311b2a4433a23d8f5751bee2f0ff0a258537ccecd92b43dcd4,42,RA 47,10882.6,32572.9,69824.9
f889f8dba01acae696f618d725fa308222f15b1cf6cfbdc29a0ddb3aac4ba98d,f889f8dba01acae696f618d725fa308222f15b1cf6cfbdc29a0ddb3aac4ba98d,44,RA 49,6881.6,36352.8,39096.4
6479cf8efe26349192322913a665a48d6315bf2ca68e76d18c2bfdb021cba48c,6479cf8efe26349192322913a665a48d6315bf2ca68e76d18c2bfdb021cba48c,45,RA 5,11868.2,38879.8,115407.3
903b5ead584bafc4a06b0900777d1b0c8126edfbd7993a9ab70ef64f51126d4c,903b5ead584bafc4a06b0900777d1b0c8126edfbd7993a9ab70ef64f51126d4c,48,RA 7,13393.1,22295.2,64428.9
